"","logFC","t","P.Value","adj.P.Val","B"
"20202",-1.82494818396849,-5.6930099176061,5.54874530905073e-05,5.54874530905073e-05,1.76993702914829
"378472",-1.31568879511862,-5.63763434465506,6.1187605102966e-05,6.1187605102966e-05,1.69293249268005
"320452",1.20985930267599,4.80327615947533,0.000280650207769647,0.000280650207769647,0.467160345564509
"14373",-1.50814729494803,-4.59703047457166,0.000414558166151292,0.000414558166151292,0.146160755844384
"20201",-1.51746933060892,-4.15349965975557,0.000974437939596062,0.000974437939596062,-0.565190280845339
"245195",-1.52012557121334,-3.38762101121069,0.00441912682000062,0.00441912682000062,-1.84267257978827
"434701",1.32281105240853,3.12976835481758,0.00738083637143177,0.00738083637143177,-2.27861924431596
"100303740",-1.34379371401983,-3.10749498392744,0.007714835662716,0.007714835662716,-2.31622865266124
"20701",-1.92462078937866,-3.10113467618486,0.00781293401991181,0.00781293401991181,-2.32696507034845
"215257",-1.20804216248362,-2.96814911853873,0.0101715549080931,0.0101715549080931,-2.55101266778461
"67629",1.2395008293776,2.9402797897283,0.0107485322408727,0.0107485322408727,-2.59783116300052
"19348",1.37285172958851,2.90960185262253,0.0114209356000226,0.0114209356000226,-2.64930042671198
"235320",1.2857223083772,2.83930601191221,0.0131213457540659,0.0131213457540659,-2.76693321083207
"72119",1.29050497960767,2.80421083596429,0.0140607423495695,0.0140607423495695,-2.82548124639367
"22236",-1.20251896358659,-2.7654716870291,0.0151740428346197,0.0151740428346197,-2.88995113083328
"404710",1.34674854686915,2.71580828549013,0.0167276224269178,0.0167276224269178,-2.97233545590873
"13605",1.4492758503643,2.6744326113503,0.018139117840384,0.018139117840384,-3.04072113289415
"11657",-1.62743513928292,-2.66435293187258,0.0185001069563336,0.0185001069563336,-3.0573438596201
"20135",1.34109623589185,2.55322658811986,0.0229699458977926,0.0229699458977926,-3.23954011397344
"51944",1.33409315003759,2.5369159894633,0.0237079356346482,0.0237079356346482,-3.26610336119146
"11722",-1.26957661106879,-2.53226285365294,0.023922616195939,0.023922616195939,-3.27367236713467
"69713",1.40204550744809,2.51601594501164,0.0246869335422752,0.0246869335422752,-3.30006823551949
"68612",1.3346050952483,2.50319144337683,0.0253067435367211,0.0253067435367211,-3.32086791910696
"74107",1.39568629013369,2.42408553350629,0.0294721815931306,0.0294721815931306,-3.44842579001663
"636752",-1.22956933852006,-2.35915326530309,0.0333719932705107,0.0333719932705107,-3.55209601985914
"19013",-1.25974829748682,-2.32278589511576,0.035765167075397,0.035765167075397,-3.60971648574213
"232493",-1.54768606338875,-2.28530605624095,0.0384007036226318,0.0384007036226318,-3.66874483132906
"17345",1.24626308738906,2.254263515211,0.0407210285434077,0.0407210285434077,-3.71734942985418
"19088",-1.25340069172317,-2.21457418564983,0.0438796738410116,0.0438796738410116,-3.77909827886459
"52033",1.20892441447899,2.19902731323925,0.0451783733349687,0.0451783733349687,-3.80316116323701
"14663",-1.74049102150058,-2.16432523653704,0.0482077672519664,0.0482077672519664,-3.85660856478936
