"","logFC","t","P.Value","adj.P.Val","B"
"23960",2.38283408760294,5.18141374762954,0.000139137288485981,0.000139137288485981,1.217045768497
"12523",1.24851159369051,5.11980467518812,0.000155793395040279,0.000155793395040279,1.11764450233196
"213438",1.2560731769954,5.06123437884595,0.000173552713470242,0.000173552713470242,1.02258676746395
"60411",1.46848965986751,4.93336609289856,0.000220012187801426,0.000220012187801426,0.813199613795481
"234258",1.79273971085508,4.87253248643038,0.000246473746734027,0.000246473746734027,0.712704860078113
"23833",1.28522689373342,4.74379277973391,0.000313909169516062,0.000313909169516062,0.498219176292415
"12515",1.4729132123835,4.74168061927023,0.00031516245195402,0.00031516245195402,0.494680115234292
"623474",1.28719042086337,4.68577466879474,0.000350284579106863,0.000350284579106863,0.400775125740976
"12448",1.67090451431207,4.52294740341237,0.000477485253351666,0.000477485253351666,0.124812010150631
"433801",1.57385657125626,4.51772913360637,0.000482273098625875,0.000482273098625875,0.115909286621002
"12623",-1.52422272104501,-4.50174183693121,0.000497251847545089,0.000497251847545089,0.0886118421565429
"209737",1.49212011279549,4.49654469818513,0.000502223650097322,0.000502223650097322,0.0797308875387657
"15360",-1.22459367093322,-4.4641503276192,0.000534389024499271,0.000534389024499271,0.0242968379192154
"13479",-1.25738927512662,-4.45045224406845,0.000548621138784303,0.000548621138784303,0.00081625672764396
"78892",-1.31477568719959,-4.21852713514616,0.000858632582875634,0.000858632582875634,-0.400157775117528
"223672",1.24067981265781,4.20843083513378,0.000875643985828493,0.000875643985828493,-0.417751523308093
"57262",2.45850203973887,4.09595066840138,0.00109022756221303,0.00109022756221303,-0.614467500029456
"56644",1.91441282710458,4.08406927159463,0.00111583470832196,0.00111583470832196,-0.635319591141885
"71398",1.31360060487452,4.0694490327156,0.00114819004904417,0.00114819004904417,-0.660996597347297
"13178",1.21965345972331,4.03380898331346,0.00123113904568847,0.00123113904568847,-0.723672133557862
"319157",1.28053944655864,4.03295892079938,0.00123319053005368,0.00123319053005368,-0.725168423725125
"15201",1.47008252576627,4.0154044339008,0.00127634420333478,0.00127634420333478,-0.756082264118869
"54392",1.58123090388887,3.97311547143044,0.00138674014535573,0.00138674014535573,-0.830662684087853
"240641",1.49841413637339,3.93958716553486,0.00148115332786494,0.00148115332786494,-0.889897589400823
"104776",-1.32045442650946,-3.87092116585076,0.0016954702975096,0.0016954702975096,-1.01148021999235
"52033",2.10286427342228,3.82509933450511,0.0018557956180313,0.0018557956180313,-1.0927999707233
"76464",1.90260924262174,3.80442539841785,0.00193309371531113,0.00193309371531113,-1.12953472718444
"52685",-1.28287523929459,-3.78402201786068,0.00201258613285178,0.00201258613285178,-1.16581450916428
"19361",1.55005433717845,3.75103776861183,0.00214817303840672,0.00214817303840672,-1.22451591431887
"14373",-1.23041617807678,-3.75046965636063,0.00215058778492674,0.00215058778492674,-1.22552750396675
"217653",1.79787747811426,3.74606781182199,0.00216939120860408,0.00216939120860408,-1.23336608923666
"380732",1.27489220815006,3.73025648787914,0.00223831769826052,0.00223831769826052,-1.26153059286875
"16551",1.83744525052866,3.69650036330851,0.00239298976718447,0.00239298976718447,-1.32170226332304
"18604",-1.44277755295612,-3.67448967257905,0.00249962958215701,0.00249962958215701,-1.36096619552607
"319183",1.5537530744434,3.64416365031646,0.00265447954325476,0.00265447954325476,-1.4150976649309
"383435",1.93211519989685,3.63523493096101,0.00270189352492828,0.00270189352492828,-1.4310423055493
"433470",2.73935086061105,3.56816542951965,0.00308650816887717,0.00308650816887717,-1.55090139661054
"11799",1.27150008496659,3.56201435895019,0.0031244372813091,0.0031244372813091,-1.56190075341462
"22370",-1.34929508648743,-3.55425735959996,0.00317293979188953,0.00317293979188953,-1.57577324722221
"56419",1.38143026871057,3.51898497112511,0.00340324019808549,0.00340324019808549,-1.6388716784121
"100038947",2.18623868736361,3.51888310579698,0.00340392911786397,0.00340392911786397,-1.63905394247019
"109225",2.11572399042777,3.47936444508615,0.00368207197368189,0.00368207197368189,-1.70977664231092
"667803",1.22330755096472,3.45580370708704,0.00385866386644534,0.00385866386644534,-1.7519510269563
"234564",-1.28767140584791,-3.45356484079884,0.00387588125609302,0.00387588125609302,-1.75595894277902
"22137",1.28027803960885,3.45021949434187,0.00390175169039479,0.00390175169039479,-1.76194770420287
"67138",1.21029954109837,3.4370613884219,0.00400520099469957,0.00400520099469957,-1.78550379867568
"100034251",1.61077172243644,3.43065451959275,0.00405656477995739,0.00405656477995739,-1.79697395021685
"20460",1.47476419283092,3.42449187410333,0.00410659462568188,0.00410659462568188,-1.80800703151344
"73254",1.32470695380683,3.40562867570169,0.0042636129113909,0.0042636129113909,-1.84177864940279
"20419",1.5096020125597,3.40366820458148,0.00428027371501113,0.00428027371501113,-1.84528858102302
"170743",1.38930396983641,3.39260319904857,0.00437554014579521,0.00437554014579521,-1.86509873532918
"269582",1.23703548117611,3.38227741594171,0.00446635923586433,0.00446635923586433,-1.88358513299671
"234311",1.23700790088502,3.36165431971239,0.00465344176471086,0.00465344176471086,-1.92050528613391
"16571",1.32351084771056,3.35457404512454,0.00471946467234427,0.00471946467234427,-1.93317988542608
"20307",1.45611539869352,3.34187393667888,0.00484025127483166,0.00484025127483166,-1.95591343913703
"237858",-1.53841643038272,-3.32638312636266,0.0049917762812861,0.0049917762812861,-1.98363973818456
"26570",1.690214866044,3.29261543815285,0.00533872554850748,0.00533872554850748,-2.0440654629376
"209387",1.29422104610604,3.28600235887744,0.00540944369422389,0.00540944369422389,-2.05589661070211
"229841",1.68572145416961,3.28535490082128,0.00541641750200067,0.00541641750200067,-2.0570548943321
"18140",1.20142568517746,3.24343855257412,0.00588753513316494,0.00588753513316494,-2.13201900591467
"74107",1.86472245177468,3.23872689106834,0.00594298474238645,0.00594298474238645,-2.14044226295247
"66977",1.54422730241784,3.22434796877162,0.0061154441868485,0.0061154441868485,-2.16614359257769
"68549",1.27494952748713,3.20968807078369,0.00629640894101869,0.00629640894101869,-2.19233961351662
"69774",1.22085124057386,3.18417403675012,0.00662416752638635,0.00662416752638635,-2.23791100187881
"319189",1.45707597353878,3.17911569442091,0.00669113748073347,0.00669113748073347,-2.24694258721331
"16009",-1.47641396534159,-3.17074441340383,0.00680345194342542,0.00680345194342542,-2.26188683510971
"15957",1.6566602901951,3.16970393095019,0.00681754209153001,0.00681754209153001,-2.26374405837869
"108000",1.49886901691878,3.12999798958042,0.00737746873657755,0.00737746873657755,-2.33457757025114
"71988",1.24922510513618,3.1187561662104,0.00754413596249005,0.00754413596249005,-2.35461715719952
"51944",1.63826445578101,3.11532916027876,0.00759568280406016,0.00759568280406016,-2.36072466917974
"64380",1.76691856693071,3.10971486780129,0.00768088562776427,0.00768088562776427,-2.37072880642417
"68774",2.22568621381226,3.1034080679006,0.00777772906286456,0.00777772906286456,-2.38196467019147
"11556",-1.40625398417316,-3.08834067847173,0.00801402399942112,0.00801402399942112,-2.40879795214179
"72119",1.41665682000176,3.07833326354102,0.00817488380938629,0.00817488380938629,-2.42661192498076
"98660",-1.28229386538969,-3.0777577004905,0.00818423211366103,0.00818423211366103,-2.42763626974733
"15366",1.86088814989217,3.07583875194242,0.00821547627935725,0.00821547627935725,-2.43105131216421
"67629",1.28717806731369,3.05337726881909,0.00859009259614289,0.00859009259614289,-2.47100578128651
"414084",1.57846925035056,3.02745416763106,0.00904348989950659,0.00904348989950659,-2.51707196326239
"226695",1.90788769388258,3.02102905896642,0.00915947590700137,0.00915947590700137,-2.52848155384528
"224171",1.41401427971621,3.01137320026683,0.00933655280561653,0.00933655280561653,-2.54562199355636
"56066",1.48747916725011,3.00999007038472,0.0093621930805818,0.0093621930805818,-2.54807660808384
"11629",1.60284319794151,3.00357543145009,0.00948201872985665,0.00948201872985665,-2.55945846184706
"16193",1.5255269399712,2.99062037429253,0.009728654692177,0.009728654692177,-2.58243467894967
"17345",1.65076318385007,2.98593070376726,0.00981948748319632,0.00981948748319632,-2.59074836536311
"276950",1.52018235840891,2.9844877642385,0.00984760327093042,0.00984760327093042,-2.59330596736882
"12267",2.09966260333241,2.96068928972649,0.0103229348344272,0.0103229348344272,-2.63546132162359
