"","logFC","t","P.Value","adj.P.Val","B"
"76681",1.32836715921719,7.34944815662736,3.61797670055668e-06,3.61797670055668e-06,4.42751826317009
"12981",1.33490087459938,6.87160602257176,7.65463836517858e-06,7.65463836517858e-06,3.79439089382275
"15370",-1.35863180003417,-6.63253665756211,1.1264824587757e-05,1.1264824587757e-05,3.46349286474084
"223672",1.95445084470467,6.6295680131913,1.13195524817952e-05,1.13195524817952e-05,3.45932385920208
"23960",3.00775346899668,6.54028547552687,1.31031706583719e-05,1.31031706583719e-05,3.33324826814757
"241633",1.64977659756573,6.52453983724137,1.34472202848599e-05,1.34472202848599e-05,3.31087478353342
"76976",-1.34849383250562,-6.13412780419846,2.58504455067513e-05,2.58504455067513e-05,2.74272916023727
"380732",2.01635286436284,5.89972493835954,3.866201569041e-05,3.866201569041e-05,2.38922037276203
"20519",-1.3072325592287,-5.87676804593179,4.02331036294619e-05,4.02331036294619e-05,2.35409961313018
"109225",3.5644646571729,5.8618570522642,4.12892147265458e-05,4.12892147265458e-05,2.3312403816424
"54486",2.05656312194966,5.7491949717247,5.02681412042706e-05,5.02681412042706e-05,2.15731679444186
"209086",1.29071121328665,5.58102831153426,6.76495470570316e-05,6.76495470570316e-05,1.89376223787246
"327959",1.83251667693921,5.57212865059486,6.87285704646905e-05,6.87285704646905e-05,1.87968375337734
"677168",1.54279345431103,5.54885412527768,7.16361782615156e-05,7.16361782615156e-05,1.84280371947052
"23833",1.49570342971802,5.52066500095453,7.53304145117504e-05,7.53304145117504e-05,1.79801673839499
"238896",1.26112011111824,5.48766423366991,7.99089920239325e-05,7.99089920239325e-05,1.74541922587958
"20556",1.54978340631024,5.48618729491129,8.01205662234443e-05,8.01205662234443e-05,1.74306106993036
"12523",1.33499860651308,5.4744642673215,8.18207640591448e-05,8.18207640591448e-05,1.72433083055709
"26888",1.68587383213767,5.4292048560467,8.87457458876336e-05,8.87457458876336e-05,1.65180806463083
"80285",1.28643725709676,5.36705547430241,9.92647361971641e-05,9.92647361971641e-05,1.55167913986779
"74116",-1.2205257375497,-5.33098052334383,0.000105958616797239,0.000105958616797239,1.49327284837366
"98365",2.05066854423101,5.31082189530704,0.000109902192208504,0.000109902192208504,1.46054454674255
"14373",-1.72711585620369,-5.26447532723114,0.000119559070705624,0.000119559070705624,1.38505310326338
"170743",2.15519384593853,5.26286377570908,0.000119910326030642,0.000119910326030642,1.38242198669727
"209387",2.07022341825961,5.25625746565631,0.000121361500345989,0.000121361500345989,1.37163182032421
"234311",1.93070677714836,5.24682887866374,0.000123464340534558,0.000123464340534558,1.35622001900356
"244183",1.35045343372194,5.2230932553915,0.000128927511509675,0.000128927511509675,1.31735997832819
"67775",1.87388795038751,5.21812108676211,0.000130103446014613,0.000130103446014613,1.30920827171553
"27052",2.98808193967438,5.19081779620667,0.000136762504132406,0.000136762504132406,1.2643761715336
"20873",1.26908097942289,5.18861929563612,0.000137313887761617,0.000137313887761617,1.26076113931637
"383435",2.75085393689789,5.17567499180001,0.000140607502101849,0.000140607502101849,1.23946126752578
"71398",1.64738782681914,5.10350008478949,0.000160539016717282,0.000160539016717282,1.12021960069316
"12267",3.61691980062688,5.10014118388351,0.000161535167384195,0.000161535167384195,1.11465067984622
"171285",1.65940631742257,5.07793205362889,0.000168285298276949,0.000168285298276949,1.07778526099621
"15018",1.80617670414775,5.05996104351865,0.000173961355482319,0.000173961355482319,1.04789954617127
"73656",2.58437968752471,5.04228938659061,0.000179736806609503,0.000179736806609503,1.01846367893622
"13040",2.02700182286008,5.03350264675977,0.00018268219510184,0.00018268219510184,1.00380986691094
"107321",1.39671292784628,5.01210666125555,0.000190065610376322,0.000190065610376322,0.968078550383767
"64380",2.84688583250634,5.01041947601255,0.000190660844487685,0.000190660844487685,0.965258012495193
"60361",1.22244655278127,4.99889559968678,0.000194778477694832,0.000194778477694832,0.94598162076135
"15957",2.60338795803516,4.98108700571355,0.000201323993604463,0.000201323993604463,0.916153387755448
"54123",3.40981132167503,4.94672617784639,0.000214605709699904,0.000214605709699904,0.858467561600434
"209200",1.2217878294691,4.94515668656538,0.000215233640792864,0.000215233640792864,0.855828474843101
"230073",1.27468094122536,4.93981851674121,0.000217383654382908,0.000217383654382908,0.846849659707817
"76933",1.87828003412394,4.93517473192621,0.000219272094822163,0.000219272094822163,0.839035378535328
"21391",1.65434329909677,4.92692850265421,0.000222667510808666,0.000222667510808666,0.825151284367247
"67138",1.7288471609643,4.90965552051734,0.000229957443155026,0.000229957443155026,0.796036532135494
"623121",2.00577439382736,4.90742833591151,0.00023091524408056,0.00023091524408056,0.792279281249297
"14017",1.6271784724626,4.89314329372576,0.000237157579910749,0.000237157579910749,0.768163240245002
"320832",2.00150878304113,4.89226266576092,0.000237548073586544,0.000237548073586544,0.76667558788869
"27060",1.30779811888012,4.8804826395769,0.000242836144400578,0.000242836144400578,0.746764639182083
"107350",1.64693386030124,4.8756121787321,0.000245057981077487,0.000245057981077487,0.738526553309871
"12508",1.28154930782955,4.87236358343868,0.000246551637672058,0.000246551637672058,0.733029842190532
"16638",1.25195630025227,4.86368705884736,0.000250587359352338,0.000250587359352338,0.71834144281994
"667803",1.72042813710007,4.86015305740457,0.000252250676894582,0.000252250676894582,0.712355651467591
"20128",1.73619675283576,4.84658346852278,0.000258744284097949,0.000258744284097949,0.68935515038105
"14293",1.26609996816115,4.84186517952419,0.0002610425140488,0.0002610425140488,0.681351433428151
"622408",1.36980440079411,4.83943386136484,0.000262235021913209,0.000262235021913209,0.67722589919818
"14972",1.25443129898499,4.83157914275627,0.000266126260013033,0.000266126260013033,0.663891991831433
"270084",1.67385450322615,4.82919271835107,0.000267320294814496,0.000267320294814496,0.659839130728173
"20555",2.43498054864547,4.82426667263732,0.000269802579127353,0.000269802579127353,0.651470664000954
"100038947",2.99689137061287,4.82367752199805,0.000270101050725613,0.000270101050725613,0.650469571243947
"70789",1.32860793365846,4.81967325124139,0.000272138740495556,0.000272138740495556,0.643664150105484
"93695",2.64012365472756,4.81740839853308,0.000273298312314546,0.000273298312314546,0.639813930304945
"246727",2.94500294405158,4.80775070196039,0.000278300576122756,0.000278300576122756,0.623387793851888
"19366",1.21989716446989,4.80075860827294,0.000281981212753226,0.000281981212753226,0.611487152921385
"234258",1.76570391325974,4.79905121010107,0.000282887611795625,0.000282887611795625,0.608580086811376
"19106",1.36528144327039,4.78645403643462,0.000289668843038066,0.000289668843038066,0.587119056076608
"15959",2.356749472643,4.78017678942683,0.000293110511583583,0.000293110511583583,0.576416556842592
"50498",1.41733095136114,4.76966676522275,0.000298967884146611,0.000298967884146611,0.558484937094611
"110557",1.45622435372452,4.76355275035146,0.000302430854313715,0.000302430854313715,0.54804643523953
"15040",1.22474229837016,4.75705286469028,0.000306157886408616,0.000306157886408616,0.536943414913926
"24110",2.20783794948463,4.74813974223401,0.000311346016037545,0.000311346016037545,0.521708578638694
"276950",2.41416559832213,4.73959433168204,0.000316405459529468,0.000316405459529468,0.507091910569203
"246730",2.29288049494995,4.73758200305908,0.000317609203034893,0.000317609203034893,0.503648413092034
"236312",1.73958800662357,4.73491475748852,0.000319212005313171,0.000319212005313171,0.499083359453102
"17084",2.00126878938707,4.71580730200397,0.000330941224046817,0.000330941224046817,0.466351852199112
"11629",2.51434657146043,4.71164590390887,0.000333554247218741,0.000333554247218741,0.459216637740225
"623474",1.29239863098658,4.70473417833547,0.000337941451303972,0.000337941451303972,0.447360427195343
"15360",-1.2902217886103,-4.70339195525714,0.000338800313394261,0.000338800313394261,0.445057253548491
"14744",1.85805378177074,4.69836944989624,0.000342034169209523,0.000342034169209523,0.436436760729499
"230787",1.69033592842835,4.68239511487895,0.000352533191754662,0.000352533191754662,0.408996066972159
"15944",1.81761114801516,4.68228382695495,0.000352607491039985,0.000352607491039985,0.408804775503265
"14962",2.91054034372587,4.68022204174431,0.000353986931677131,0.000353986931677131,0.405260495205813
"68774",3.35063135532588,4.6719866961247,0.000359552618911111,0.000359552618911111,0.391097931613213
"234964",1.56307964255264,4.6710381471434,0.000360199453126932,0.000360199453126932,0.389466097766729
"15016",1.72656239213414,4.66123050600067,0.000366958328984091,0.000366958328984091,0.372586463187958
"13733",2.36389244481993,4.65182547276923,0.000373562758577127,0.000373562758577127,0.356387646157336
"14130",2.05389212424108,4.6492162292075,0.000375416682309202,0.000375416682309202,0.35189150706519
"216864",-1.40776951264991,-4.63768087553734,0.000383727289146732,0.000383727289146732,0.332003416532264
"58203",2.65076335878765,4.63534056996272,0.000385436392971341,0.000385436392971341,0.327966343577598
"55932",1.80135886442006,4.6346588180866,0.000385935746112332,0.000385935746112332,0.326790171828284
"15951",3.10632094095102,4.62616977421872,0.000392209798469909,0.000392209798469909,0.312139560800735
"209737",1.53237389520336,4.61785057049115,0.000398460462055469,0.000398460462055469,0.29777284667585
"232413",2.47447123639113,4.60258463068664,0.000410199276840129,0.000410199276840129,0.271385961534703
"666907",2.23193093056273,4.57788515732609,0.000429952965450117,0.000429952965450117,0.228629131569726
"99899",2.27128115794734,4.57648499197191,0.00043110172192344,0.00043110172192344,0.226202966294179
"13058",2.09424225676341,4.57097590187316,0.000435652424023214,0.000435652424023214,0.216654528328856
"69774",1.75033946002621,4.56516345226053,0.000440507424852212,0.000440507424852212,0.206576078160804
"69550",1.77599025495566,4.55861551772613,0.00044604361599877,0.00044604361599877,0.195217159040402
"14289",2.00020179797177,4.54474416241122,0.00045800978979105,0.00045800978979105,0.171136008248066
"11810",1.98340755457277,4.53252656341391,0.000468823247677101,0.000468823247677101,0.149905635368667
"433470",3.46633686684466,4.51510741219385,0.000484697205192397,0.000484697205192397,0.119604119900877
"246728",2.13253090942288,4.50792154286628,0.000491405976924173,0.000491405976924173,0.107092880812568
"240327",2.0472726378873,4.49469900878604,0.000504001606809218,0.000504001606809218,0.0840545251337899
"14068",1.30762154423571,4.4941562874358,0.000504525643517482,0.000504525643517482,0.0831084497861818
"433801",1.56496835893856,4.49221566785179,0.000506404045832275,0.000506404045832275,0.0797252522277274
"60411",1.33592516949556,4.4880179370373,0.000510491867351431,0.000510491867351431,0.0724055122950142
"17857",2.91973199205507,4.48471922885517,0.000513728033425818,0.000513728033425818,0.0666519122252502
"668139",1.30511920604075,4.48287804238118,0.000515543487934594,0.000515543487934594,0.0634399380770878
