"U","L","H"
42.0731707317073,45.1219512195122,47.5609756097561
46.9512195121951,54.2682926829268,56.0975609756098
53.0487804878049,55.4878048780488,56.7073170731707
53.0487804878049,63.4146341463415,65.8536585365854
54.8780487804878,70.7317073170732,70.1219512195122
61.5853658536585,73.1707317073171,76.219512195122
67.6829268292683,76.219512195122,131.707317073171
68.9024390243902,78.0487804878049,134.756097560976
69.5121951219512,80.4878048780488,135.975609756098
71.9512195121951,82.3170731707317,137.80487804878
75.609756097561,101.829268292683,151.219512195122
76.219512195122,112.19512195122,157.317073170732
77.4390243902439,122.560975609756,171.951219512195
88.4146341463415,123.170731707317,187.80487804878
89.0243902439024,136.585365853659,190.243902439024
89.0243902439024,154.878048780488,194.512195121951
95.1219512195122,172.560975609756,203.658536585366
101.219512195122,179.878048780488,204.878048780488
103.658536585366,207.926829268293,215.243902439024
107.926829268293,208.536585365854,238.414634146341
