"L","H"
0,0.17283950617284
0,0.308641975308642
0,0.345679012345679
0,0.432098765432099
0,0.62962962962963
0,0.666666666666667
0,0.728395061728395
0,0.740740740740741
0,0.740740740740741
0,0.777777777777778
0,0.814814814814815
0,0.876543209876543
0,1.12345679012346
0,1.17283950617284
0.0123456790123457,1.20987654320988
0.0123456790123457,1.23456790123457
0.0246913580246915,1.2716049382716
0.0246913580246915,1.2962962962963
0.0246913580246915,1.32098765432099
0.0246913580246915,1.32098765432099
0.0246913580246915,1.37037037037037
0.0246913580246915,1.41975308641975
0.037037037037037,1.46913580246914
0.037037037037037,1.53086419753086
0.037037037037037,1.59259259259259
0.037037037037037,1.59259259259259
0.037037037037037,1.62962962962963
0.037037037037037,1.65432098765432
0.0493827160493827,1.71604938271605
0.0493827160493827,1.74074074074074
0.0493827160493827,1.75308641975309
0.0493827160493827,1.79012345679012
0.0617283950617284,1.82716049382716
0.0740740740740742,1.8641975308642
0.0740740740740742,1.93827160493827
0.0987654320987654,2.03703703703704
0.0987654320987654,2.11111111111111
0.123456790123457,2.20987654320988
0.148148148148148,2.30864197530864
0.160493827160494,2.40740740740741
0.197530864197531,2.53086419753086
0.209876543209877,2.64197530864198
0.234567901234568,2.75308641975309
0.234567901234568,2.76543209876543
0.234567901234568,2.90123456790123
0.234567901234568,3.03703703703704
0.283950617283951,3.20987654320988
0.320987654320988,3.37037037037037
0.419753086419753,3.55555555555556
1.16049382716049,3.75308641975309
