O3,PM2.5,Temp
7.38,4.33,-11.52
4.62,4.38,-12.64
6.21,4.62,-13.39
9.02,4.78,-13.21
9.6,4.66,-13.03
5.24,4.52,-12.7
9.01,4.45,-12.85
11.99,4.36,-13.22
7.27,4.33,-13.1
12.33,4.74,-13.26
15.1,4.27,-13.14
16.6,3.45,-13.2
15.91,3.38,-13.12
13.65,3.58,-12.56
